x,y,z
1123207.02502,1777784.34205,3838.30059718
1123202.67546,1777771.21822,3838.16620202
1123200.74019,1777774.5099,3838.19817719
1123200.56238,1777769.80559,3838.14307063
1123199.58217,1777758.16399,3837.97689286
1123199.57665,1777762.63377,3838.04435059
1123197.64293,1777760.74155,3838.00567154
1123200.71717,1777760.18813,3838.01383209
1123202.26412,1777757.77582,3837.98284425
1123202.26569,1777762.26128,3838.04994662
1123195.99246,1777767.97173,3838.09753026
1123194.52217,1777770.73826,3838.12320512
1123194.36628,1777766.33356,3838.06415386
1123197.63392,1777765.24498,3838.07067939
1123197.60835,1777770.00171,3838.13263573
1123197.63425,1777756.46106,3837.93722847
1123195.99246,1777758.91692,3837.96608292
1123194.41493,1777757.19386,3837.92474356
1123199.52205,1777754.4756,3837.91518079
1123195.99246,1777754.73199,3837.89522205
1123197.60446,1777752.38167,3837.8647973
1123214.89128,1777772.34414,3838.16557899
1123213.29932,1777774.97739,3838.19955115
1123213.47707,1777769.78592,3838.14281118
1123216.42278,1777770.00108,3838.13211374
1123216.30296,1777775.06343,3838.18676035
1123191.62645,1777754.45436,3837.84778685
1123191.63452,1777758.01845,3837.91189135
1123189.52766,1777756.77379,3837.8658388
1123192.84266,1777755.60692,3837.88209801
1123194.6204,1777753.06184,3837.85241761
1123192.42194,1777751.86848,3837.80660267
1123194.32895,1777761.51917,3837.99391123
1123192.84266,1777764.16147,3838.02104947
1123191.1588,1777762.45866,3837.97938314
1123195.99246,1777763.33044,3838.03351488
1123192.84266,1777759.77082,3837.95327439
1123208.59238,1777757.42666,3837.98836253
1123210.16657,1777759.69924,3838.02116552
1123208.59351,1777761.9498,3838.05448884
1123211.75192,1777757.55712,3837.98640915
1123211.75617,1777762.11604,3838.05222278
1123191.15675,1777743.35294,3837.59435859
1123190.89521,1777746.46553,3837.66932605
1123189.69286,1777745.6201,3837.63099594
1123188.20099,1777744.6804,3837.58212268
1123194.06795,1777742.11859,3837.60186856
1123192.92577,1777744.55697,3837.65008854
1123189.37434,1777742.22837,3837.53472372
1123191.39548,1777740.33598,3837.51303319
1123192.84266,1777741.27778,3837.56249585
1123060.55449,1777893.38755,3836.86288966
1123058.96503,1777895.77483,3836.91450737
1123057.43663,1777893.69614,3836.86179161
1123063.68525,1777893.50958,3836.86248272
1123062.12653,1777895.68686,3836.91570016
1123058.97605,1777892.53837,3836.83038737
1123060.5501,1777891.75477,3836.7902758
1123062.12585,1777892.48876,3836.83113144
1123207.02753,1777746.72711,3837.79653886
1123205.61136,1777749.38219,3837.84676646
1123203.90299,1777747.55747,3837.80553137
1123210.16033,1777746.68604,3837.79666761
1123208.58955,1777749.05797,3837.84417176
1123205.44187,1777745.47208,3837.76685108
